"Date","Price","Open","High","Low","Change %"
"Jan 14, 2005","57.1505","57.4500","57.6595","56.9070","-0.60%"
"Jan 13, 2005","57.4965","57.7170","58.0105","57.3100","-0.48%"
"Jan 12, 2005","57.7760","57.2780","57.9420","57.1900","0.78%"
"Jan 11, 2005","57.3280","57.3470","57.7570","57.1640","-0.18%"
"Jan 10, 2005","57.4300","57.0850","57.7530","57.0160","0.56%"
"Jan 07, 2005","57.1110","57.7500","58.1090","56.8150","-1.17%"
"Jan 06, 2005","57.7875","57.6720","58.2825","57.5400","0.09%"
"Jan 05, 2005","57.7340","57.7110","58.2320","57.4080","0.01%"
"Jan 04, 2005","57.7310","58.3800","58.6940","57.4650","-1.20%"
"Jan 03, 2005","58.4295","58.5550","59.1235","58.2340","-0.36%"
"Dec 31, 2004","58.6425","59.4570","59.5015","58.4580","-1.60%"
"Dec 30, 2004","59.5975","59.4130","59.7285","59.2130","0.25%"
"Dec 29, 2004","59.4470","59.4340","59.6930","59.1170","-0.05%"
"Dec 28, 2004","59.4780","59.5750","59.6960","59.2850","-0.27%"
"Dec 27, 2004","59.6380","59.0230","59.7430","58.9750","0.97%"
"Dec 24, 2004","59.0650","58.9480","59.3650","58.8650","0.17%"
"Dec 23, 2004","58.9665","58.6480","59.0155","58.5150","0.50%"
"Dec 22, 2004","58.6730","58.4270","58.8520","58.3130","0.31%"
"Dec 21, 2004","58.4895","58.6830","58.8165","58.3120","-0.50%"
"Dec 20, 2004","58.7840","58.4830","58.8490","58.1700","0.85%"
"Dec 17, 2004","58.2895","57.9210","58.5975","57.8850","0.47%"
"Dec 16, 2004","58.0195","58.6560","59.0575","57.7670","-0.97%"
"Dec 15, 2004","58.5905","58.4800","59.0985","58.3080","0.11%"
"Dec 14, 2004","58.5265","58.7680","58.8585","58.3570","-0.45%"
"Dec 13, 2004","58.7925","58.7750","59.2355","58.4500","-0.26%"
"Dec 10, 2004","58.9480","58.7280","59.1960","58.4720","0.30%"
"Dec 09, 2004","58.7700","58.4340","58.9870","58.3940","0.52%"
"Dec 08, 2004","58.4675","58.5820","58.9385","57.9300","-0.27%"
"Dec 07, 2004","58.6285","58.2450","58.9225","58.0410","0.64%"
"Dec 06, 2004","58.2545","59.2440","59.3365","58.0730","-1.74%"
"Dec 03, 2004","59.2870","58.4190","59.3180","58.3480","1.32%"
"Dec 02, 2004","58.5165","58.9850","59.3185","58.2560","-0.71%"
"Dec 01, 2004","58.9360","59.0380","59.3250","58.7910","-0.36%"
"Nov 30, 2004","59.1495","59.3080","59.4925","58.9050","-0.23%"
"Nov 29, 2004","59.2840","59.6000","59.8680","59.1070","-0.77%"
"Nov 26, 2004","59.7430","59.5890","60.0160","59.2880","0.17%"
"Nov 25, 2004","59.6425","59.3110","59.6565","59.1770","0.59%"
"Nov 24, 2004","59.2945","58.9090","59.3965","58.8340","0.68%"
"Nov 23, 2004","58.8955","58.5680","59.0425","58.3480","0.52%"
"Nov 22, 2004","58.5935","58.6790","58.8645","58.5050","-0.11%"
"Nov 19, 2004","58.6595","58.2940","58.8455","58.1950","0.57%"
"Nov 18, 2004","58.3260","58.6000","58.9660","58.1780","-0.60%"
"Nov 17, 2004","58.6755","58.2670","58.8205","58.2360","0.63%"
"Nov 16, 2004","58.3105","58.2560","58.5775","58.1180","-0.01%"
"Nov 15, 2004","58.3175","58.4350","58.5955","57.9880","-0.26%"
"Nov 12, 2004","58.4720","58.2100","58.5260","57.9930","0.35%"
"Nov 11, 2004","58.2705","58.0860","58.3525","57.9950","0.22%"
"Nov 10, 2004","58.1405","58.1350","58.6685","57.9100","-0.05%"
"Nov 09, 2004","58.1690","58.1870","58.4790","58.0600","-0.19%"
"Nov 08, 2004","58.2820","58.4900","58.7230","58.1410","-0.19%"
"Nov 05, 2004","58.3925","58.0130","58.5145","57.5640","0.58%"
